id,comment,,
460,: 哈哈哈 超可愛 jisoo好像真的喝醉了,,
461,: 智秀是看了微博跟豆瓣嗎(X,,
462,: 他們ig就互打了啊,,
463,: 網內互打每個團多多少少 但兩個B字天,,
464,: 團已經量變引發質變 打得特凶,,
465,: 網內互打從二代團開始就有了 只是以前,,
466,: sns比較不發達,,
467,: 網內互打二代就很兇了+1 只是以前沒,,
468,: 有IG，越紅的團毒唯越可怕,,
469,: 她們感覺就是那種 欸他們說我們不合欸,,
470,: Jisoo: 我們原來不合？？？？,,
471,: 剛剛才在珍妮ig看到有人留言「怎麼都沒,,
472,: 幫智秀宣傳」哈哈,,
473,: 哈哈,,
474,: 哈哈哈,,
475,: 覺得BP開著留言真的很了不起，看到很,,
476,: 紅的藝人底下留言常常會覺得黑酸真的,,
477,: 病得不輕,,
478,: 一方面稱讚自家做人很誠懇一方面又說,,
479,: 團魂只是演技...有事？,,
480,: 每次看她們粉絲團內互打都想拿智商測驗,,
481,: 表出來,,
482,: 有夠多狂粉瘋狂讓自己偶像敗好感,,
483,: 喝醉智秀超可愛哈哈哈,,
484,: 智秀超可愛,,
485,: 超好笑,,
486,: 到底是毒唯還是黑粉反串其實我分不出來,,
487,: 動不動就指著人說是黑粉真的很煩,,
488,: https://i.imgur.com/9KhZWda.png,,
489,: 基本上只有XX和他的快樂夥伴類的團才會,,
490,: 有不合的誘因吧？各自都混得好的是要不,,
491,: 合什麼？,,
492,: 但看完這集對jisoo大大改觀..真的情商,,
493,: 很高,,
494,: 人美個性又好~,,
495,: 專版,,
496,: 各自混得好就要比誰混得比較好啊，這,,
497,: 種吵得才兇吧，XX與小夥伴的團基本是,,
498,: 單方霸凌XD,,
499,: 快樂夥伴團要吵什麼，快樂夥伴粉絲又吵,,
500,: 不贏,,
501,: 不是啊，我指的是成員要發展有落差才可,,
502,: 能心裡不平衡導致真不合，不是指粉絲吵,,
503,: 架,,
504,: 在毒唯眼裡看起來可能不是成員各自都混,,
505,: 得好啊XD 整天幻想自己姐姐被打壓,,
506,: 還有一個毒唯奇葩言論：其他成員沒提,,
507,: 到自家要罵；但提了一樣罵成員來蹭自,,
508,: 家流量。,,
509,: Jisoo好可愛～,,
510,: 會互相臭就是感情好啊,,
511,: Jisoo感覺好像很好相處 好可愛,,
512,: 看到某些黑粉一直強調沒有團魂 欺負,,
513,: 團員 就覺得超好笑 Jisoo直接告訴你人,,
514,: 家才懶得理你,,
515,: 某f真的好可憐,,
516,: 她這張宣傳照真的表現力都好好,,
517,: 韓星點？,,
518,: 你這個有幾趴會下去==,,
519,: 過度引申了 人家只是講翻唱也可以扯一堆?,,
520,: 台灣流行音樂沒落就主要都藝人跑去支那賺快,,
521,: 錢 台灣對於其他國家藝人吸引力也弱了,,
522,: 結果也可以推導到本土意識排外的頭上?,,
523,: 真的是莫名其妙,,
524,: 別說了，每次聽Bopeep都會想到彩樺姐害我,,
525,: 每次都想跳過。,,
526,: 笑死，台灣什麼時候本土意識排外了？連對,,
527,: 岸歌手都能唱台語歌發片了，非台灣籍新生,,
528,: 代歌手也不少，不過是整體演藝圈被對岸大,,
529,: 市場吸血還怪東怪西,,
530,: 這篇講的觀點是不錯 但感覺po錯版…,,
531,: 當年台灣如果是堅持自己的東西,,
532,: 讓對岸來投資結果可能就不一樣了…,,
533,: 為了開發對岸市場去迎合對岸口味,,
534,: 反而讓我們沒了特色,,
535,: 這篇論點搞錯什麼了吧?臺灣已經算最,,
536,: 不文化排外的國家了 甚至本土文化都,,
537,: 快消失了還不夠多元包容嗎,,
538,: 也不用說文化了 連語言都要消失了,,
539,: 而且更不用說 即便70-00年代黃金時期 台灣,,
540,": 流行音樂也跟""台灣本土意識""沒甚麼太大關係",,
541,: 好嗎 一堆大中國情懷的歌沒看到嗎? 尤其民,,
542,: 歌時代 甚麼龍的傳人 一翦梅 歸人沙城 就連,,
543,: 張雨生創作的歌也差不多,,
544,: 台灣不包容==？你一定是在跟我開玩笑,,
545,: 這文有點噁心 故意用似是而非的邏輯,,
546,: 台灣娛樂圈大老都還是那些人,,
547,: 跟國族主義無關 就是跟不上時代而已,,
548,: kpop用YT行銷時 台灣還在忙著抓盜版,,
549,: 把問題都推給本土意識很賊,,
550,: 唱別國作家譜的新曲 跟抄著唱的不會分？,,
551,: 開頭沒標題還以為你寫的勒，所以搬這,,
552,: 篇你到底要表達啥？只想分享你回個連,,
553,: 結在原篇底下不就好了？,,
554,: 不懂華語歌壇的來分析華語歌壇，用結果,,
555,: 來論原因,,
556,: 邏輯混亂的文章,,
557,: 這麼認真寫大家噓成這樣，他要解釋的不,,
558,: 就是排外不好嗎,,
559,: 也沒說台灣排外，說的是開頭舉的例子太,,
560,: 國族主義,,
561,: 所以韓星點呢？不是隨便提個BTS就能交,,
562,: 差了欸,,
563,: 認真寫也不代表他的論述就合情合理,,
564,: 哈哈哈超好笑，彩樺姐是台灣濱崎步耶，,,
565,: 當然走在時尚尖端啊XDDD,,
566,: 世界怎麼跟得上台灣,,
567,: 蹭,,
568,: 王彩樺超讚的,,
569,: 保庇已經是12年前了嗎…還記得那時過年,,
570,: 到哪裡都在播這首,,
571,: 抄什麼襲 現在都是致敬、翻玩、臨摹,,
572,:  董？,,
573,: 一樣土倒是真的,,
574,: 但保庇也是翻唱T-ara的歌耶 有點好笑,,
575,: 那是因為翻唱T-ara的歌吧 所以到處都聽得到,,
576,: 啊 不過我大多是聽到T-ara原唱的就是了,,
577,: 誰蹭誰？,,
578,: 復古時尚風，懂？,,
579,: 不虧是台灣濱崎步,,
580,: 後來看韓綜才知道原來王彩樺當年也是致,,
581,: 敬,,
582,: 好險王的開花舞比較早 不然又要被說蹭,,
583,: XD,,
584,: 不愧是台灣濱崎步XD,,
585,: 怎麼跟得上我們彩樺姐,,
586,: 該拍段TikTok挑戰了吧,,
587,: 整篇寫的好像保佑是她的原創曲ㄎ,,
588,: 不愧是台灣濱崎步彩樺姐！XD,,
589,: 世界怎麼跟得上彩樺姐XDD,,
590,: ....包庇是翻唱的耶,,
591,: bobi是翻唱 但舞不是阿XD,,
592,: 王彩樺十三年前當時的保庇是跟韓國,,
593,: 買版權翻唱，台灣當時就一堆韓國翻,,
594,: 唱，信樂團的死了都要愛那些也是，,,
595,: 台灣早就寫不出什麼歌也沒人在寫,,
596,: 台灣明明就有很多創作人 不要你沒聽歌,,
597,:  就說沒人在寫好嗎,,
598,: 推樓上，台灣的問題是資源還握在老一輩,,
599,: 身上，所以才讓人覺得娛樂圈幾十年沒長進,,
600,: ，但新世代的創作力很強,,
601,: 沒翻唱的歌明顯比翻唱多啊 硬要罵耶,,
602,: 翻唱流行歌曲哪國都有好不好…只是以,,
603,: 前不會特別說這件事,,
604,: 以前韓國也是有翻唱過台灣的歌曲欸,,
605,: 台灣很多創作人，清明連假在墾丁的台灣祭,,
606,: 連續整整三天一堆樂團表演，YT還有網路直,,
607,: 播，自己沒在注意沒在聽不代表沒有好嗎？,,
608,: 台灣怎麼可能沒人在寫歌…..每年創作一,,
609,: 大堆好嗎,,
610,: 翻唱跟舞蹈是兩回事啊，又不是抄歌,,
611,: blink就是喜歡這種土味,,
612,: 沒人聽就代表沒有發展的空間,,
613,: 看了一下 原來是冥視 那不EY了,,
614,: 。。。,,
615,: 台灣明明一堆創作人，你不聽不代表沒人,,
616,: 聽欸,,
617,: 屋馬哥又來發揚歧視精神了,,
618,: 台灣早就寫不出什麼歌XD在講什麼鬼笑死,,
619,: 自己沒在聽真的不用公告周知欸,,
620,: https://i.imgur.com/cNngcTL.jpg,,
621,: 很可愛呀,,
622,: 彩樺姐很讚欸…,,
623,: 彩樺姊就是走得這麼前面,,
624,: 看好了世界!!XD,,
625,: 不是龜派氣功嗎,,
626,: 不過啊!讓更多台灣人知道JISOO新歌,,
627,: 更:不錯啊!,,
628,: 哎呀某人怎麼從我黑名單放出來了^^還,,
629,: 是一樣惹人厭,,
630,: 自己沒在聽還敢這麼大聲ㄏ,,
631,: 爛標題,,
632,: 下面那篇是風傳媒寫的 不是民視,,
633,: 你也是不EY,,
634,: 當時只知道歌是翻T-ara的，現在才知道舞也,,
635,: 是耶！XD,,
636,: 這種歡樂文怎麼也有人在酸,,
637,: 華語圈新興歌手大多屬於創作型歌手/樂,,
638,: 團 自己沒在聽 不要可憐了。,,
639,: 當初我是因為王彩樺的保庇才去找T-ara的,,
640,: 原版聽的耶。互相為對方吸引新客群啊 交流,,
641,: 成功,,
